date,price
14.05.19,9404.080078
15.05.19,9480.759766
16.05.19,9660.589844
17.05.19,9659.080078
20.05.19,9582.080078
21.05.19,9624.160156
22.05.19,9645.040039
23.05.19,9594.30957
24.05.19,9666.889648
27.05.19,9712.959961
28.05.19,9680.870117
29.05.19,9541.969727
31.05.19,9523.980469
03.06.19,9602.730469
04.06.19,9597.709961
05.06.19,9658.620117
06.06.19,9682.290039
07.06.19,9749.129883
11.06.19,9835.870117
12.06.19,9859.730469
13.06.19,9861.830078
14.06.19,9847.610352
17.06.19,9851.570313
18.06.19,9988.549805
19.06.19,9961.650391
20.06.19,9978.519531
21.06.19,9922.830078
24.06.19,9898.849609
25.06.19,9898.900391
26.06.19,9838.129883
27.06.19,9859.759766
28.06.19,9898.240234
01.07.19,9970
02.07.19,10020.92969
03.07.19,10066.53027
04.07.19,10066.48047
05.07.19,9980.219727
08.07.19,9994.099609
09.07.19,9961.339844
10.07.19,9937.55957
11.07.19,9879.530273
12.07.19,9762.980469
15.07.19,9808.580078
16.07.19,9850.519531
17.07.19,9942.009766
18.07.19,10010.15039
19.07.19,9937.030273
22.07.19,9922.370117
23.07.19,9965.150391
24.07.19,9907.679688
25.07.19,9877.030273
26.07.19,9968.080078
29.07.19,9970.870117
30.07.19,9890.900391
31.07.19,9919.269531
02.08.19,9803.69043
05.08.19,9599.429688
06.08.19,9553.879883
07.08.19,9533.980469
08.08.19,9751.549805
09.08.19,9749.919922
12.08.19,9760.019531
13.08.19,9786.240234
14.08.19,9628.480469
15.08.19,9606.259766
16.08.19,9728.389648
19.08.19,9825.589844
20.08.19,9770.389648
21.08.19,9848.110352
22.08.19,9805.5
23.08.19,9744.980469
26.08.19,9715.830078
